acct_num,acct_create_dt,account_close_dt,first_name,last_name,address,city,state,zipcode,phone_number,created,modified
26,2008-11-15 07:46:20.0,\N,Larae,Petit,2548 Terra Street,Richmond,CA,94862,5101367449,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
27,2008-11-29 04:32:42.0,2014-01-02 16:57:04.0,Sheri,Jacobsen,2909 Watson Street,Richmond,CA,94860,5106498890,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
28,2008-12-19 05:47:20.0,2014-01-27 04:06:16.0,Victoria,Jones,2344 Monroe Avenue,San Mateo,CA,94430,6502547308,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
29,2008-12-13 10:45:23.0,\N,Lynn,Elsner,2700 Spinnaker Lane,Oakland,CA,94550,5105989473,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
30,2008-12-02 16:27:08.0,\N,Angela,Young,4110 American Drive,Sacramento,CA,94240,9163908986,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
31,2008-12-04 00:39:19.0,\N,Brent,Bean,3268 Bond Street,San Francisco,CA,94017,4150895469,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
32,2008-11-15 13:50:10.0,\N,Linda,Vaught,2621 May Street,Richmond,CA,94811,5108387425,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
33,2008-12-04 11:11:21.0,\N,Marcia,Prince,2681 Rivendell Drive,Oakland,CA,94530,5105471357,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
34,2008-11-01 10:55:13.0,2014-02-08 10:55:34.0,Lela,Polk,1671 Scenicview Drive,Oakland,CA,94555,5109458176,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
35,2008-12-07 19:23:59.0,2012-12-30 18:45:27.0,Peggy,Miller,100 Stockert Hollow Road,Palo Alto,CA,94360,6508527129,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
36,2008-12-14 01:10:43.0,\N,Adrienne,Woods,2284 Camden Street,Oakland,CA,94657,5101252048,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
37,2008-12-30 21:23:38.0,\N,Cheryl,West,4905 Olive Street,Oakland,CA,94622,5102979022,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
38,2008-11-30 04:39:11.0,\N,Sabrina,Macklin,4445 Khale Street,San Francisco,CA,94177,4153177265,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
39,2008-12-05 23:51:55.0,\N,Leroy,Sears,2161 Peck Street,Oakland,CA,94534,5100081066,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
40,2008-11-11 00:56:50.0,2010-08-16 01:26:03.0,Sharon,Burns,1811 Camden Street,San Mateo,CA,94463,6503025128,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
41,2008-11-28 13:45:13.0,\N,Bonnie,Rivera,4946 Marion Street,Oakland,CA,94618,5109215080,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
42,2008-11-10 09:07:46.0,\N,Stella,Barrera,4084 Russell Street,Santa Rosa,CA,94922,7076948029,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
43,2008-12-16 02:45:13.0,\N,Imogene,Rodgers,2845 Jehovah Drive,San Francisco,CA,94065,4154868198,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
44,2008-11-17 12:38:51.0,2013-11-13 19:29:58.0,Elba,Bennett,2829 Single Street,Oakland,CA,94661,5102680691,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
45,2008-11-11 14:11:06.0,2014-03-07 06:02:03.0,Larry,Ary,1858 New York Avenue,Oakland,CA,94554,5104985494,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
46,2008-12-22 02:13:55.0,2012-10-12 13:00:48.0,Robert,Knapp,3466 Goosetown Drive,San Francisco,CA,94139,4155184548,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
47,2008-11-05 01:02:55.0,\N,Stephanie,Williams,2729 Armbrester Drive,Oakland,CA,94530,5106329832,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
48,2008-11-15 12:22:34.0,\N,Jerome,Cope,4453 Jenna Lane,Santa Rosa,CA,94914,7078755344,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
49,2008-11-27 13:02:47.0,\N,Johnnie,Jones,1206 Colony Street,Richmond,CA,94803,5107438525,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
50,2008-12-13 18:49:43.0,\N,Abdul,Gagne,995 Harvest Lane,Palo Alto,CA,94302,6509477570,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
51,2008-11-30 07:06:34.0,2014-02-19 07:44:11.0,Elizabeth,Kerns,4703 Eva Pearl Street,San Mateo,CA,94441,6509811731,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
52,2008-10-25 10:48:40.0,\N,Odessa,True,3764 Kessla Way,San Francisco,CA,94002,4151228388,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
53,2008-10-30 19:59:51.0,2014-02-08 00:55:11.0,Wanda,Monson,1046 Hill Haven Drive,San Mateo,CA,94473,6503155055,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
54,2008-11-10 00:10:54.0,\N,Christopher,Block,3346 Sharon Lane,Richmond,CA,94815,5109192624,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
55,2008-11-11 18:42:53.0,\N,Michael,Thompson,1015 Lake Floyd Circle,San Francisco,CA,94013,4157329877,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
56,2008-11-27 08:21:23.0,\N,Terrell,Hardiman,1521 Flint Street,Sacramento,CA,94261,9162005319,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
57,2008-12-23 21:59:29.0,\N,Rebekah,Welton,4363 Fraggle Drive,Oakland,CA,94670,5108459154,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
58,2008-11-14 16:37:53.0,\N,Donald,McRae,4826 Nutter Street,Palo Alto,CA,94389,6500393228,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
59,2008-11-20 01:26:29.0,2014-01-13 12:24:35.0,James,Parker,150 Walton Street,Berkeley,CA,94741,5103147786,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
60,2008-12-08 08:07:49.0,\N,Irwin,Clatterbuck,1898 Baker Avenue,San Mateo,CA,94403,6503457699,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
61,2008-10-27 18:29:22.0,\N,Carrie,Miller,3 Wexford Way,Sacramento,CA,94289,9162581613,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
62,2008-12-17 11:08:13.0,2013-08-04 23:48:30.0,Nick,Booker,1918 Stadium Drive,Palo Alto,CA,94345,6509628348,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
63,2008-12-08 19:58:07.0,2014-01-02 11:16:17.0,Edna,Thelen,1665 Hickory Street,Palo Alto,CA,94378,6508399118,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
64,2008-11-07 02:45:59.0,\N,Eddie,Henderson,2030 Sycamore Fork Road,Oakland,CA,94675,5102689749,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
65,2008-12-28 00:41:15.0,\N,Peter,Tran,2130 Station Street,Sacramento,CA,94297,9162974820,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
66,2008-10-31 18:46:48.0,2014-02-10 23:34:32.0,Charles,Whitmire,4352 Winding Way,Oakland,CA,94609,5101166999,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
67,2008-11-15 05:48:50.0,\N,Asa,Carter,4475 Viking Drive,Oakland,CA,94689,5101032076,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
68,2008-11-02 15:53:04.0,2014-02-22 12:33:28.0,Walter,Greiner,4383 Coburn Hollow Road,Berkeley,CA,94701,5102984254,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
69,2008-11-14 06:07:41.0,2012-01-21 07:41:35.0,Victoria,Yanes,2876 Liberty Avenue,San Mateo,CA,94498,6501143930,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
70,2008-12-23 10:55:40.0,\N,Debra,Newman,2997 Harley Brook Lane,Santa Rosa,CA,94910,7078079756,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
71,2008-11-18 22:21:40.0,\N,Elizabeth,White,1454 Bingamon Branch Road,Sacramento,CA,94274,9160627649,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
72,2008-11-17 06:35:38.0,\N,Bessie,Atwood,2053 Collins Street,San Mateo,CA,94404,6509765463,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
73,2008-11-24 05:52:48.0,2014-02-28 19:29:03.0,Donald,Loveless,1779 Eagle Lane,Berkeley,CA,94710,5101152162,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
74,2008-11-12 09:29:41.0,\N,Terry,Todd,2938 Wildwood Street,Santa Rosa,CA,94903,7070315981,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
75,2008-12-28 01:35:03.0,\N,Michael,Rivera,1344 Stutler Lane,Santa Rosa,CA,94927,7077792372,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
76,2008-12-02 03:19:58.0,2012-03-08 00:44:49.0,Raymond,Willis,2244 Mercer Street,San Mateo,CA,94473,6507753512,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
77,2008-11-14 06:30:56.0,\N,Doris,Miller,2928 Bel Meadow Drive,San Francisco,CA,94173,4158623685,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
78,2008-12-29 16:45:39.0,\N,Alice,Williams,4261 Sycamore Lake Road,Berkeley,CA,94768,5106476742,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
79,2008-11-20 13:13:23.0,2014-01-03 11:02:43.0,Efrain,Bradley,4248 Terra Street,Berkeley,CA,94745,5107606902,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
80,2008-12-10 17:15:20.0,\N,Monika,Shapiro,1516 Hinkle Lake Road,San Mateo,CA,94459,6507271094,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
81,2008-11-16 08:03:31.0,\N,Byron,Whitten,4179 Simpson Square,Palo Alto,CA,94341,6503149681,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
82,2008-11-24 11:16:38.0,\N,Alexander,Austin,2049 Parkway Street,San Francisco,CA,94096,4159613291,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
83,2008-12-21 03:38:34.0,2013-12-18 08:27:01.0,Melissa,Roman,3539 James Martin Circle,Palo Alto,CA,94355,6504155889,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
84,2008-11-09 02:46:49.0,\N,Jason,Slaughter,2976 Weekley Street,Santa Rosa,CA,94969,7073642335,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
85,2008-12-26 18:40:16.0,2013-11-02 08:57:46.0,Carolina,Knox,1351 Washington Avenue,Oakland,CA,94556,5106173488,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
86,2008-11-03 08:52:59.0,2014-02-26 11:02:12.0,Matthew,Gould,4840 Deer Haven Drive,Oakland,CA,94616,5106698545,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
87,2008-12-17 10:26:28.0,\N,Linda,Pope,3244 Shobe Lane,Berkeley,CA,94739,5106771149,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
88,2008-10-29 15:42:07.0,\N,Elaine,Robinson,3019 Romano Street,San Mateo,CA,94426,6501458572,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
89,2008-10-21 22:21:17.0,\N,Kathleen,Trotter,928 Freedom Lane,Oakland,CA,94585,5104067433,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
90,2008-12-30 13:06:19.0,\N,Julie,Pace,470 Pleasant Hill Road,Santa Rosa,CA,94952,7072626216,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
91,2008-12-28 02:17:40.0,\N,Connie,Guzman,3381 Jacobs Street,Santa Rosa,CA,94966,7073479888,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
92,2008-12-13 21:49:40.0,2014-02-10 17:59:23.0,Douglas,Robinson,3456 Lena Lane,Santa Rosa,CA,94984,7078400117,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
93,2008-11-14 03:48:50.0,2014-01-01 23:37:50.0,Jennifer,Burns,4970 Parker Drive,San Francisco,CA,94156,4151631986,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
94,2008-12-21 13:16:26.0,\N,Rodney,Bedgood,651 University Hill Road,Oakland,CA,94570,5108142405,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
95,2008-12-03 18:42:18.0,\N,Tara,Ring,4754 Tea Berry Lane,Santa Rosa,CA,94991,7078350505,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
96,2008-10-30 17:17:16.0,2012-05-11 12:34:34.0,Michael,Nail,4805 Chapmans Lane,San Francisco,CA,94141,4152163825,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
97,2008-11-06 05:44:46.0,2014-01-26 22:17:58.0,Tammy,Dameron,3479 Pick Street,Berkeley,CA,94716,5102439375,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
98,2008-11-02 17:44:01.0,\N,Terrie,Jacobs,222 Tea Berry Lane,Oakland,CA,94655,5103197687,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
99,2008-11-15 15:50:51.0,2014-02-08 22:40:02.0,Gerald,Bellomy,2822 Randall Drive,Oakland,CA,94576,5102145517,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
100,2008-12-16 20:41:43.0,2013-09-12 06:27:02.0,Manuel,Cerrato,3140 Pinewood Drive,Berkeley,CA,94770,5103731340,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
101,2008-12-09 23:08:42.0,2014-01-05 22:13:18.0,Linda,Moore,4520 Raintree Boulevard,San Francisco,CA,94175,4159866681,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
102,2008-11-05 12:37:50.0,\N,Kimberly,Winter,2400 Jefferson Street,Richmond,CA,94855,5102393293,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
103,2008-12-24 18:42:07.0,\N,Arthur,McDonald,2710 Tibbs Avenue,San Francisco,CA,94003,4152927972,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
104,2008-12-27 00:48:56.0,\N,Jason,Booth,177 Elsie Drive,Palo Alto,CA,94386,6507046730,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
105,2008-12-18 15:22:52.0,\N,June,Green,4767 Shobe Lane,Sacramento,CA,94231,9163793364,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
106,2008-12-23 05:26:16.0,\N,Terry,Studer,969 Nicholas Street,Oakland,CA,94662,5109321866,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
107,2008-12-29 18:46:01.0,\N,Perry,Henderson,4132 Walnut Drive,Richmond,CA,94871,5102462189,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
108,2008-12-10 05:16:50.0,\N,Ann,Snyder,2474 Charmaine Lane,San Francisco,CA,94048,4152772662,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
109,2008-11-03 12:07:59.0,2010-08-07 11:01:14.0,Mary,King,3625 Calvin Street,Santa Rosa,CA,94949,7079737340,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
110,2008-12-27 15:49:50.0,\N,Joseph,Young,3950 Riverwood Drive,Sacramento,CA,94282,9168845707,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
111,2008-11-02 03:42:00.0,\N,Gillian,Hall,2189 Abia Martin Drive,Oakland,CA,94619,5108252790,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
112,2008-11-15 16:42:05.0,\N,Helena,Borrego,1636 Masonic Hill Road,San Francisco,CA,94101,4150293906,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
113,2008-11-20 00:42:23.0,2014-01-29 00:32:18.0,Yvonne,Glenn,4159 Bridge Street,Berkeley,CA,94707,5100575073,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
114,2008-11-27 16:09:12.0,2014-02-23 13:03:41.0,Joe,Williams,4125 Whaley Lane,Oakland,CA,94666,5106048663,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
115,2008-11-13 14:18:08.0,\N,Candice,Albert,3515 Maple Street,Richmond,CA,94893,5104207058,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
116,2008-11-30 08:32:23.0,\N,Gregory,Chatman,1228 Kelly Street,Berkeley,CA,94793,5101189988,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
117,2008-12-07 03:47:02.0,\N,Rodney,Borg,410 Bernardo Street,San Francisco,CA,94007,4153545269,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
118,2008-12-31 03:13:18.0,\N,Charles,Whitham,822 School Street,San Francisco,CA,94022,4157310618,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
119,2008-12-04 16:11:57.0,2011-08-30 06:06:29.0,David,Abbott,2578 West Fork Street,Oakland,CA,94684,5104638963,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
120,2008-11-12 20:49:51.0,2013-06-26 14:22:03.0,James,Cousins,3930 Ashton Lane,San Francisco,CA,94162,4159244097,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
121,2008-11-08 05:05:18.0,2013-11-17 19:42:09.0,John,Helt,1273 Owagner Lane,Oakland,CA,94546,5102940162,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
122,2008-11-06 22:25:07.0,2014-01-03 01:03:14.0,Larry,Carnes,1244 George Avenue,Richmond,CA,94839,5109441371,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
123,2008-11-23 04:46:21.0,\N,Robert,Fontana,4440 Turkey Pen Lane,Santa Rosa,CA,94903,7075556653,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
124,2008-10-29 19:29:26.0,\N,Christine,Ingram,1489 Coburn Hollow Road,Oakland,CA,94682,5103920538,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
125,2008-11-26 09:26:02.0,\N,Annie,Parmer,3808 Ryan Road,Santa Rosa,CA,94942,7070672305,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
126,2008-12-18 19:27:46.0,2013-09-12 23:08:59.0,Keith,Branan,1004 Ersel Street,Oakland,CA,94623,5104342572,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
127,2008-11-02 05:52:37.0,\N,Kenneth,Russell,1895 Bird Spring Lane,Santa Rosa,CA,94939,7077814054,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
128,2008-11-29 12:52:07.0,\N,Norman,Gregory,2413 Brannon Street,Berkeley,CA,94782,5104700295,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
129,2008-12-18 19:16:13.0,\N,Donald,Gray,186 Nixon Avenue,San Francisco,CA,94056,4150498930,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
130,2008-12-28 21:51:12.0,\N,Maynard,Penley,228 Stiles Street,San Francisco,CA,94120,4155311822,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
131,2008-10-22 21:42:45.0,\N,Renee,Torres,4277 Abia Martin Drive,San Francisco,CA,94055,4151707647,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
132,2008-11-24 14:47:56.0,2014-02-18 05:19:09.0,John,Mayers,4091 Oral Lake Road,Oakland,CA,94639,5101808531,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
133,2008-11-11 13:01:48.0,2013-11-25 21:36:50.0,Barbara,Sipple,4956 Doctors Drive,Sacramento,CA,94224,9165399923,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
134,2008-11-17 04:36:39.0,2012-08-18 11:16:58.0,Grace,Pollack,3120 D Street,Oakland,CA,94618,5105155205,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
135,2008-11-19 13:24:55.0,\N,Robert,Estevez,4720 Dovetail Drive,Oakland,CA,94641,5109553651,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
136,2008-12-21 00:03:26.0,\N,Rick,Glynn,4956 Lyon Avenue,Sacramento,CA,94258,9166006645,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
137,2008-12-08 15:41:54.0,\N,Thomas,Morin,1155 Stiles Street,Berkeley,CA,94743,5102333005,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
138,2008-12-11 09:27:00.0,\N,Jerry,Widner,1128 Braxton Street,Sacramento,CA,94210,9161518025,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
139,2008-11-15 12:27:10.0,2014-01-30 10:39:07.0,Pauline,Johnson,2858 Saint Marys Avenue,San Mateo,CA,94410,6508780391,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
140,2008-11-03 08:46:13.0,2013-12-05 22:12:29.0,Minnie,Gallagher,1503 Burnside Avenue,San Francisco,CA,94191,4154577235,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
141,2008-12-28 05:40:47.0,2014-02-24 20:36:24.0,Brian,Flores,3317 Conaway Street,San Mateo,CA,94416,6501078160,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
142,2008-10-27 23:19:21.0,\N,Dorothy,Harris,4400 Cambridge Drive,Richmond,CA,94816,5109700907,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
143,2008-12-03 09:15:04.0,\N,Eric,Brown,4679 Patterson Road,Santa Rosa,CA,94949,7074221571,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
144,2008-10-23 23:56:10.0,2012-12-24 13:17:17.0,Regina,Rhodes,524 Duke Lane,Oakland,CA,94504,5108355566,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
145,2008-12-05 17:08:29.0,2012-07-31 12:53:23.0,Joseph,Gidney,4360 Simpson Avenue,Palo Alto,CA,94351,6501224634,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
146,2008-10-22 18:34:23.0,\N,Steven,Rivers,681 Bolman Court,Santa Rosa,CA,94903,7070285635,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
147,2008-11-30 03:39:19.0,\N,Vincent,Baker,805 Centennial Farm Road,Santa Rosa,CA,94961,7074994246,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
148,2008-12-01 09:52:41.0,2013-11-04 14:06:38.0,Johnny,Vargas,4037 Carolina Avenue,Sacramento,CA,94281,9161868085,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
149,2008-11-28 04:06:21.0,2014-01-20 21:41:30.0,Laura,Smith,1381 Weekley Street,San Francisco,CA,94017,4151278270,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
150,2008-11-01 11:33:54.0,2014-02-10 16:41:08.0,Cynthia,Koeller,2014 Brown Street,Oakland,CA,94519,5102799018,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
151,2008-11-25 13:57:47.0,\N,Roy,Thornton,3534 Moonlight Drive,Berkeley,CA,94719,5100707947,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
152,2008-12-19 11:52:19.0,2012-07-09 05:12:43.0,Howard,Dixon,4697 Hornor Avenue,Sacramento,CA,94275,9162500471,2014-03-18 13:29:47.0,2014-03-18 13:29:47.0
